match_id,surface,tourney_date,stat_name,side,value
114,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.625
114,Hard,2024-01-15,breakPointsSaved,Winner,0.5
114,Hard,2024-01-15,breakPointsSaved,Loser,0.3333333333333333
115,Hard,2024-01-15,aces,Winner,0.5555555555555556
115,Hard,2024-01-15,aces,Loser,0.35294117647058826
115,Hard,2024-01-15,doubleFaults,Winner,0.3333333333333333
115,Hard,2024-01-15,doubleFaults,Loser,0.17647058823529413
115,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.6666666666666665
115,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.1176470588235294
115,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.5
115,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.6470588235294117
115,Hard,2024-01-15,breakPointsSaved,Winner,0.16666666666666666
115,Hard,2024-01-15,breakPointsSaved,Loser,0.5294117647058824
116,Hard,2024-01-15,aces,Winner,0.4375
116,Hard,2024-01-15,aces,Loser,0.5333333333333333
116,Hard,2024-01-15,doubleFaults,Winner,0.125
116,Hard,2024-01-15,doubleFaults,Loser,0.13333333333333333
116,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.1875
116,Hard,2024-01-15,firstServePointsAccuracy,Loser,3.0
116,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.5
116,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.0
116,Hard,2024-01-15,breakPointsSaved,Winner,0.3125
116,Hard,2024-01-15,breakPointsSaved,Loser,0.6666666666666666
117,Hard,2024-01-15,aces,Winner,0.5789473684210527
117,Hard,2024-01-15,aces,Loser,0.3888888888888889
117,Hard,2024-01-15,doubleFaults,Winner,0.10526315789473684
117,Hard,2024-01-15,doubleFaults,Loser,0.16666666666666666
117,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.9473684210526314
117,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.5
117,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.2105263157894737
117,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.0555555555555556
117,Hard,2024-01-15,breakPointsSaved,Winner,0.21052631578947367
117,Hard,2024-01-15,breakPointsSaved,Loser,0.16666666666666666
118,Hard,2024-01-15,aces,Winner,0.6153846153846154
118,Hard,2024-01-15,aces,Loser,0.44
118,Hard,2024-01-15,doubleFaults,Winner,0.07692307692307693
118,Hard,2024-01-15,doubleFaults,Loser,0.16
118,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.4615384615384617
118,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.84
118,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.0769230769230769
118,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.32
118,Hard,2024-01-15,breakPointsSaved,Winner,0.6538461538461539
118,Hard,2024-01-15,breakPointsSaved,Loser,0.28
119,Hard,2024-01-15,aces,Winner,0.4
119,Hard,2024-01-15,aces,Loser,0.9285714285714286
119,Hard,2024-01-15,doubleFaults,Winner,0.13333333333333333
119,Hard,2024-01-15,doubleFaults,Loser,0.35714285714285715
119,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.8
119,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.4285714285714284
119,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.0
119,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.2142857142857142
119,Hard,2024-01-15,breakPointsSaved,Winner,0.5333333333333333
119,Hard,2024-01-15,breakPointsSaved,Loser,0.5
120,Hard,2024-01-15,aces,Winner,0.7894736842105263
120,Hard,2024-01-15,aces,Loser,0.631578947368421
120,Hard,2024-01-15,doubleFaults,Winner,0.42105263157894735
120,Hard,2024-01-15,doubleFaults,Loser,0.10526315789473684
120,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.736842105263158
120,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.9473684210526314
120,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.5263157894736843
120,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.0
120,Hard,2024-01-15,breakPointsSaved,Winner,0.5263157894736842
120,Hard,2024-01-15,breakPointsSaved,Loser,0.2631578947368421
121,Hard,2024-01-15,aces,Winner,0.25
121,Hard,2024-01-15,aces,Loser,0.26666666666666666
121,Hard,2024-01-15,doubleFaults,Winner,0.0
121,Hard,2024-01-15,doubleFaults,Loser,0.26666666666666666
121,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.5
121,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.6666666666666665
121,Hard,2024-01-15,secondServePointsAccuracy,Winner,0.8125
121,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.2666666666666666
121,Hard,2024-01-15,breakPointsSaved,Winner,0.375
121,Hard,2024-01-15,breakPointsSaved,Loser,0.4666666666666667
122,Hard,2024-01-15,aces,Winner,0.9583333333333334
122,Hard,2024-01-15,aces,Loser,1.4782608695652173
122,Hard,2024-01-15,doubleFaults,Winner,0.3333333333333333
122,Hard,2024-01-15,doubleFaults,Loser,0.2608695652173913
122,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.1666666666666665
122,Hard,2024-01-15,firstServePointsAccuracy,Loser,3.1739130434782608
122,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.4166666666666667
122,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.1304347826086956
122,Hard,2024-01-15,breakPointsSaved,Winner,0.4583333333333333
122,Hard,2024-01-15,breakPointsSaved,Loser,0.08695652173913043
123,Hard,2024-01-15,aces,Winner,0.6521739130434783
123,Hard,2024-01-15,aces,Loser,0.45454545454545453
123,Hard,2024-01-15,doubleFaults,Winner,0.17391304347826086
123,Hard,2024-01-15,doubleFaults,Loser,0.13636363636363635
123,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.8260869565217392
123,Hard,2024-01-15,firstServePointsAccuracy,Loser,3.090909090909091
123,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.434782608695652
123,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.1818181818181819
123,Hard,2024-01-15,breakPointsSaved,Winner,0.30434782608695654
123,Hard,2024-01-15,breakPointsSaved,Loser,0.36363636363636365
124,Hard,2024-01-15,aces,Winner,0.8333333333333334
124,Hard,2024-01-15,aces,Loser,1.0909090909090908
124,Hard,2024-01-15,doubleFaults,Winner,0.08333333333333333
124,Hard,2024-01-15,doubleFaults,Loser,0.09090909090909091
124,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.9166666666666665
124,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.727272727272727
124,Hard,2024-01-15,secondServePointsAccuracy,Winner,2.0
124,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.6363636363636365
124,Hard,2024-01-15,breakPointsSaved,Winner,0.3333333333333333
124,Hard,2024-01-15,breakPointsSaved,Loser,0.09090909090909091
125,Hard,2024-01-15,aces,Winner,1.0666666666666667
125,Hard,2024-01-15,aces,Loser,0.06666666666666667
125,Hard,2024-01-15,doubleFaults,Winner,0.06666666666666667
125,Hard,2024-01-15,doubleFaults,Loser,0.0
125,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.466666666666667
125,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.6666666666666665
125,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.4
125,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.0
125,Hard,2024-01-15,breakPointsSaved,Winner,0.6
125,Hard,2024-01-15,breakPointsSaved,Loser,0.5333333333333333
126,Hard,2024-01-15,aces,Winner,0.34615384615384615
126,Hard,2024-01-15,aces,Loser,0.6923076923076923
126,Hard,2024-01-15,doubleFaults,Winner,0.15384615384615385
126,Hard,2024-01-15,doubleFaults,Loser,0.23076923076923078
126,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.5384615384615383
126,Hard,2024-01-15,firstServePointsAccuracy,Loser,3.269230769230769
126,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.1153846153846154
126,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.1153846153846154
126,Hard,2024-01-15,breakPointsSaved,Winner,0.34615384615384615
126,Hard,2024-01-15,breakPointsSaved,Loser,0.38461538461538464
127,Hard,2024-01-15,aces,Winner,0.5833333333333334
127,Hard,2024-01-15,aces,Loser,0.3333333333333333
127,Hard,2024-01-15,doubleFaults,Winner,0.16666666666666666
127,Hard,2024-01-15,doubleFaults,Loser,0.08333333333333333
127,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.2083333333333335
127,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.7083333333333335
127,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.3333333333333333
